sale_id,customer_id,produto,categoria,quantidade,valor_unitario,valor_total,forma_pagamento,status,data_venda
1001,1,Notebook,Informatica,1,3500.00,3500.00,Cartao,Aprovada,2026-08-01
1002,2,Mouse,Perifericos,2,80.00,160.00,PIX,Aprovada,2026-08-01
1003,,Teclado,Perifericos,1,150.00,150.00,Cartao,Aprovada,2026-08-01
1004,3,Monitor,Informatica,1,1200.00,1200.00,Boleto,Aprovada,2026-08-01
1005,4,Headset,Perifericos,1,250.00,250.00,PIX,Aprovada,2026-08-02
1006,,Mouse,Perifericos,1,40.00,40.00,Cartao,Aprovada,2026-08-02
1007,5,Notebook,Informatica,1,4200.00,4200.00,Cartao,Aprovada,2026-08-02
1008,2,Webcam,Perifericos,1,300.00,300.00,PIX,Aprovada,2026-08-02
1009,6,SSD 1TB,Armazenamento,2,450.00,900.00,Cartao,Aprovada,2026-08-03
1010,7,Memoria RAM 16GB,Componentes,2,300.00,600.00,PIX,Aprovada,2026-08-03
1011,8,Cadeira Gamer,Mobiliario,1,1300.00,1300.00,Boleto,Aprovada,2026-08-03
1012,9,Mousepad,Perifericos,3,50.00,150.00,PIX,Aprovada,2026-08-03
1013,,Monitor,Informatica,1,950.00,950.00,Cartao,Aprovada,2026-08-04
1014,10,Processador,Componentes,1,1800.00,1800.00,Cartao,Aprovada,2026-08-04
1015,11,Placa de Video,Componentes,1,3200.00,3200.00,Cartao,Aprovada,2026-08-04
1016,12,Fonte 750W,Componentes,1,550.00,550.00,PIX,Aprovada,2026-08-04
1017,13,Gabinete,Componentes,1,400.00,400.00,Boleto,Aprovada,2026-08-05
1018,14,Teclado Mecanico,Perifericos,1,450.00,450.00,PIX,Aprovada,2026-08-05
1019,,Webcam,Perifericos,2,280.00,560.00,Cartao,Aprovada,2026-08-05
1020,15,Monitor,Informatica,2,1100.00,2200.00,Cartao,Aprovada,2026-08-05
1021,16,Notebook,Informatica,1,3900.00,3900.00,PIX,Aprovada,2026-08-06
1022,17,HD Externo,Armazenamento,1,500.00,500.00,Boleto,Aprovada,2026-08-06
1023,18,Microfone,Perifericos,1,700.00,700.00,Cartao,Aprovada,2026-08-06
1024,19,Roteador,Redes,2,350.00,700.00,PIX,Aprovada,2026-08-06
1025,20,Switch 8 portas,Redes,1,280.00,280.00,PIX,Aprovada,2026-08-07
1026,,Notebook,Informatica,1,4500.00,4500.00,Cartao,Aprovada,2026-08-07
1027,21,Cabo HDMI,Acessorios,4,40.00,160.00,PIX,Aprovada,2026-08-07
1028,22,Adaptador USB-C,Acessorios,2,90.00,180.00,Cartao,Aprovada,2026-08-07
1029,23,Tablet,Informatica,1,2200.00,2200.00,Boleto,Aprovada,2026-08-08
1030,24,Impressora,Informatica,1,1400.00,1400.00,Cartao,Aprovada,2026-08-08
1031,25,Mouse,Perifericos,2,75.00,150.00,PIX,Aprovada,2026-08-08
1032,,Headset,Perifericos,1,320.00,320.00,Cartao,Aprovada,2026-08-08
1033,26,SSD 2TB,Armazenamento,1,800.00,800.00,PIX,Aprovada,2026-08-09
1034,27,Placa Mae,Componentes,1,950.00,950.00,Cartao,Aprovada,2026-08-09
1035,28,Processador,Componentes,1,2100.00,2100.00,Boleto,Aprovada,2026-08-09
1036,29,Monitor,Informatica,1,1250.00,1250.00,PIX,Aprovada,2026-08-09
1037,30,Notebook,Informatica,1,5100.00,5100.00,Cartao,Aprovada,2026-08-10
1038,,Teclado,Perifericos,2,170.00,340.00,PIX,Aprovada,2026-08-10
1039,31,Webcam,Perifericos,1,350.00,350.00,Cartao,Cancelada,2026-08-10
1040,32,Mouse,Perifericos,1,90.00,90.00,PIX,Aprovada,2026-08-10
1041,20,Mouse,Perifericos,2,80.00,-160.00,PIX,Aprovada,2026-08-11
